YEAR,Car_Age,MILEAGE,CAR_PRICE
2011,11,140000,6800
2013,10,101950,11999
2018,5,65000,22950
2004,19,207995,6500
2008,15,87662,11900
2017,6,81000,21950
2012,11,91000,14590
2022,1,11735,32880
2003,20,147958,3750
2015,8,75095,14999
