YEAR,Car_Age,MILEAGE,CAR_PRICE
2011,11,140000,"6,800"
2013,10,"101,950","11,999"
2018,5,65000,"22,950"
2004,19,"207,995","6,500"
2008,15,"87,662","11,900"
2017,6,81000,"21,950"
2012,11,91000,"14,590"
2022,1,11735,"32,880"
2003,20,"147,958","3,750"
2015,8,"75,095","14,999"
